Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Hyundai,Grand I10,10,47000,Automatic,second,Petrol,455000,4700,2026,11
Mahindra,Bolero,9,16,Manual,first,Diesel,390000,2,2026,11
Honda,Brio,12,68000,Manual,first,Petrol,235000,5667,2026,11
Honda,City Zx,17,115000,Manual,second,Petrol,265000,6765,2026,10
Hyundai,I10,13,50000,Manual,second,Petrol,150000,3846,2026,11
Honda,Wrv,7,98000,Manual,first,Diesel,600000,14000,2026,11
Land Rover,Discovery Sport,5,62000,Automatic,first,Diesel,2422500,12400,2026,11
Tata,Harrier,5,67000,Manual,second,Diesel,899000,13400,2026,11
Tata,Zest,9,69000,Manual,second,Petrol,340000,7667,2026,11
Maruti Suzuki,Eeco,3,49000,Manual,first,Petrol,540000,16333,2026,10
Maruti Suzuki,Swift-Dzire,11,162000,Manual,second,Diesel,390000,14727,2026,11
Toyota,Fortuner,6,86000,Manual,first,Diesel,2422500,14333,2026,11
Hyundai,Creta,1,35000,Automatic,first,Diesel,2025000,27750,2026,11
Maruti Suzuki,Wagon-R,10,38000,Manual,first,Petrol,370000,3800,2026,11
Hyundai,Creta,4,105000,Manual,first,Diesel,1050000,26250,2026,11
Toyota,28 Legender 4X2,2,25500,Automatic,first,Diesel,2422500,12750,2026,11
Maruti Suzuki,Swift Dzire,9,168500,Manual,first,Petrol,450000,27750,2026,11
Volkswagen,Ventotest,8,78000,Automatic,first,Petrol,555000,9750,2026,11
Toyota,Innova,18,168500,Manual,first,Diesel,295000,10611,2026,11
Hyundai,Creta,6,66000,Automatic,second,Petrol,1075000,11000,2026,10
Toyota,Innova Crysta,8,75000,Manual,first,Diesel,1480000,9375,2026,11
Maruti Suzuki,Vitara-Brezza,6,85600,Manual,first,Diesel,750000,14267,2026,11
Maruti Suzuki,Ertiga,12,155000,Manual,second,Diesel,650000,12917,2026,11
Hyundai,I10,14,46000,Manual,second,Petrol,78000,3286,2026,11
Maruti Suzuki,Ciaz,9,68000,Manual,first,Petrol,330000,7556,2026,11
Ford,Ecosport,6,73000,Automatic,first,Petrol,590000,12167,2026,11
Honda,City,13,74000,Automatic,second,Petrol,375000,5692,2026,11
Maruti Suzuki,Swift,6,65000,Automatic,second,Petrol,590000,10833,2026,11
Audi,A4,3,50000,Automatic,first,Petrol,2422500,16667,2026,11
Honda,City,10,61000,Automatic,first,Petrol,685000,6100,2026,11
Maruti Suzuki,Swift,19,98000,Manual,second,Petrol,160000,5158,2026,11
Mahindra,Xuv500,7,76000,Automatic,second,Diesel,760000,10857,2026,11
Mahindra,Xuv500,8,89100,Manual,second,Diesel,760000,11138,2026,11
Volkswagen,Polo,6,73961,Automatic,second,Petrol,935000,12327,2026,11
Ford,Endeavour,5,60000,Automatic,first,Diesel,2422500,12000,2026,11
Mahindra,Thar,6,46850,Manual,second,Diesel,880000,7808,2026,11
Mahindra,Thar,1,168500,Automatic,first,Diesel,1785000,27750,2026,11
Mahindra,Xuv500,11,99000,Manual,second,Diesel,470000,9000,2026,11
Maruti Suzuki,Sx4,15,56328,Manual,first,Petrol,265000,3755,2026,11
Audi,A3,9,42000,Automatic,second,Diesel,1050000,4667,2026,11
Hyundai,Creta,6,168500,Manual,first,Diesel,995000,27750,2026,11
Mercedes-Benz,C-Class,11,78000,Automatic,second,Petrol,790000,7091,2026,11
Toyota,Innova Crysta,2,31000,Automatic,first,Diesel,2422500,15500,2026,11
Skoda,Kodiaq,4,57000,Automatic,first,Diesel,2422500,14250,2026,11
Ford,Endeavour,7,70000,Automatic,second,Diesel,2422500,10000,2026,10
Honda,City,8,93000,Automatic,second,Petrol,575000,11625,2026,11
Hyundai,Eon,10,41453,Manual,second,Petrol,220000,4145,2026,11
Tata,Altroz,3,33000,Manual,first,Petrol,545000,11000,2026,11
Maruti Suzuki,Celerio,6,37000,Automatic,second,Petrol,460000,6167,2026,11
Volkswagen,Polo,9,65000,Manual,first,Petrol,375000,7222,2026,11
Hyundai,Grand I10 Nios,2,36000,Automatic,first,Petrol,690000,18000,2026,11
Toyota,Camry,8,130000,Automatic,second,Petrol,1399999,16250,2026,10
